scientific_name,author,gbif_id,plantnet_id,powo_id,iucn_category,common_names
Sambucus nigra,L.,2888728,1356464,null,LC,Common Elder; Elderberry; Black elderberry; Common elderberry; Black Elder; Elder; European Black Elder; European Black Elderberry; European Elderberry; Europen elder; West Indian Elder; European Elder; Bore tree; Bour tree; Alderne; Bore-wood; Zova; آقطی سیاه
Sandwithia guyanensis,Lanj.,3071864,1547272,null,LC,
Sapium glandulosum,(L.) Morong,5379918,1404086,null,LC,Milktree; Gumtree; Brazil sapium
Sapium laurifolium,(A.Rich.) Griseb.,5379846,1547283,null,LC,Hinchahuevos
Sapium paucinervium,Hemsl.,5379888,1405436,null,,
Sarcaulus brasiliensis,(A.DC.) Eyma,2886233,1403529,null,LC,
Sarcaulus inflexus,(A.C.Sm.) T.D.Penn.,2886229,1687366,null,LC,
Schinus terebinthifolia,Raddi,3660419,1396078,null,,Brazilian peppertree; Christmasberry-tree; Brazilian Pepper Tree; Florida Holly; Christmas berry; Warui; Mexican pepper tree; Broad-leaf pepper tree; Schinus; Pepper berry; Brazilian Holly; Broad-leaved Peppertree; Japanese Peppertree
Schizolobium parahyba,(Vell.) S.F.Blake,2945453,1426406,null,LC,Brazilian Firetree; Brazilian fern tree
Schnella glabra,(Jacq.) Dugand,2953170,1714296,null,,
Schoenobiblus daphnoides,Mart.,3567577,1403626,null,LC,
Scleronema micranthum,(Ducke) Ducke,8363369,1595478,null,LC,
Securidaca diversifolia,(L.) S.F.Blake,5421445,1403184,null,LC,Easter Flower
Senegalia loretensis,(J.F.Macbr.) Seigler & Ebinger,3796032,1734158,null,,
